,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Anthropology 001,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
,,Number of Records,,360,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,19%,,,,,,,,,,,,,,,,,
,,Number of Records,,,449,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
,,Number of Records,122,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,354,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,212,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,14%,,,,,,,,,,,,,,,,
,,Number of Records,,,,323,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,115,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
,,Number of Records,,,,,,,,,73,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,100,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,28,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,25,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,30,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,104,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,9,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,17,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,39,,,,,,
Anthropology 003,A,% of Total Number of Records along Grade Code Final,,8%,,,,,,,,,,,,,,,,,,
,,Number of Records,,120,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,172,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,37,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,237,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
,,Number of Records,,,,,,171,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,232,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
,,Number of Records,,,,,,,,128,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
,,Number of Records,,,,,,,,,88,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,10%,,,,,,,,,,,,,
,,Number of Records,,,,,,,160,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
,,Number of Records,,,,,,,,,,,44,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,14,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,30,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,87,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,7,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,17,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,31,,,,,,
Anthropology 005,A,% of Total Number of Records along Grade Code Final,,12%,,,,,,,,,,,,,,,,,,
,,Number of Records,,387,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
