course_name,letter_grade,description,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Anthropology 001,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
Anthropology 001,A,Number of Records,,360,,,,,,,,,,,,,,,,,,
Anthropology 001,A-,% of Total Number of Records along Grade Code Final,,,19%,,,,,,,,,,,,,,,,,
Anthropology 001,A-,Number of Records,,,449,,,,,,,,,,,,,,,,,
Anthropology 001,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
Anthropology 001,A+,Number of Records,122,,,,,,,,,,,,,,,,,,,
Anthropology 001,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
Anthropology 001,B,Number of Records,,,,,354,,,,,,,,,,,,,,,
Anthropology 001,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
Anthropology 001,B-,Number of Records,,,,,,212,,,,,,,,,,,,,,
Anthropology 001,B+,% of Total Number of Records along Grade Code Final,,,,14%,,,,,,,,,,,,,,,,
Anthropology 001,B+,Number of Records,,,,323,,,,,,,,,,,,,,,,
Anthropology 001,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
Anthropology 001,C,Number of Records,,,,,,,,115,,,,,,,,,,,,
Anthropology 001,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
Anthropology 001,C-,Number of Records,,,,,,,,,73,,,,,,,,,,,
Anthropology 001,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
Anthropology 001,C+,Number of Records,,,,,,,100,,,,,,,,,,,,,
Anthropology 001,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
Anthropology 001,D,Number of Records,,,,,,,,,,,28,,,,,,,,,
Anthropology 001,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Anthropology 001,D-,Number of Records,,,,,,,,,,,,25,,,,,,,,
Anthropology 001,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
Anthropology 001,D+,Number of Records,,,,,,,,,,30,,,,,,,,,,
Anthropology 001,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
Anthropology 001,F,Number of Records,,,,,,,,,,,,,104,,,,,,,
Anthropology 001,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
Anthropology 001,NP,Number of Records,,,,,,,,,,,,,,,,9,,,,
Anthropology 001,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
Anthropology 001,P,Number of Records,,,,,,,,,,,,,,,,,,17,,
Anthropology 001,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Anthropology 001,W,Number of Records,,,,,,,,,,,,,,39,,,,,,
Anthropology 003,A,% of Total Number of Records along Grade Code Final,,8%,,,,,,,,,,,,,,,,,,
Anthropology 003,A,Number of Records,,120,,,,,,,,,,,,,,,,,,
Anthropology 003,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
Anthropology 003,A-,Number of Records,,,172,,,,,,,,,,,,,,,,,
Anthropology 003,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
Anthropology 003,A+,Number of Records,37,,,,,,,,,,,,,,,,,,,
Anthropology 003,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
Anthropology 003,B,Number of Records,,,,,237,,,,,,,,,,,,,,,
Anthropology 003,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
Anthropology 003,B-,Number of Records,,,,,,171,,,,,,,,,,,,,,
Anthropology 003,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
Anthropology 003,B+,Number of Records,,,,232,,,,,,,,,,,,,,,,
